owner_id,title,description,category,street,barangay,city,coordinates,image_url,rent,amenities,rating,max_renters,is_available,is_verified,has_internet,allows_pets,is_furnished,has_ac,is_secure,has_parking,number_reviews
34,Division 1 Bedspace,"Bed With foam, 1 pillow, ceiling fan, lampshade. Free WiFi. Free electric. Free Water. Allowed to cook and do laundry. No curfew. Occupancy: Female only. Accessible location.",bedspace,,Upper Motong,Dumaguete,"9.316099944405792, 123.29125617893142","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room1.jpg""}",3000,{},NULL,4,true,true,true,NULL,true,false,true,NULL,0
35,Bachelor's Pad,Separate electric and water meter along hibbard ave. Accessible location.,apartment,,Piapi,Dumaguete,"9.32321600486663, 123.30556133972327","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room1.jpg""}",6500,{},NULL,3,true,false,false,true,true,true,NULL,true,0
36,Room For Rent in Daro,Allowed to cook and do laundry. Girls only with siblings (girl/boy). Occupancy: Female only. Accessible location.,room,,Daro,Dumaguete,"9.31826507423032, 123.29837233580974","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room3.jpg""}",6000,{},NULL,1,true,false,NULL,NULL,true,false,NULL,NULL,0
25,Single Room near Robinsons Calindagan,"No curfew. Free electricity and water. May accept visitors to visit only. Occupancy: Female only. Payment: No advance, no deposit. Accessible location.",room,,Calindagan,Dumaguete,"9.295283293402345, 123.3003033173419","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room2.jpg""}",3000,{},NULL,4,true,false,false,false,true,false,NULL,NULL,0
37,Rooms for Rent,Good for 2 persons. FREE water and Electricity. Occupancy: Female only. Accessible location.,room,,Taclobo,Dumaguete,"9.316206788005454, 123.29124400829078","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room3.jpg""}",5000,{},NULL,2,true,false,NULL,NULL,true,false,NULL,NULL,0
38,Room For Rent in Daro,Good for 2 persons. Own Bathroom. Free water. No curfew. Accessible location.,room,,Daro,Dumaguete,"9.315931800763861, 123.30192558608536","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room4.jpg""}",8000,{},NULL,3,true,true,NULL,NULL,true,true,true,NULL,0
39,Affordable Room for 4 in Banilad,Private electric & water meters. Backyard sink/wash area. Accessible location.,room,,Banilad,Dumaguete,"9.280651173335459, 123.29112036931785","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room5.jpg""}",7000,{},NULL,2,true,true,NULL,NULL,false,false,true,true,0
40,Small Room for Rent,"1. Work from home not allowed 2. Cooking inside the room strictly prohibited 3.No contract but be  not below 6 months stay 4. Aircon cleaning be made every three months and shoulder to the tenant. 5. Liquor and cigarettes strictly not allowed. 6 None boarder strictly not allowed to enter the premises. 7. No any business transactions from 5pm Friday up to 6pm Saturday. Payment: 1 month advance, 2 months deposit. Lease term: 6-12 months. Accessible location.",room,,Boloc-boloc,Sibulan,"9.33225038527047, 123.29416125865735","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room4.jpg""}",4000,{},NULL,2,true,true,true,NULL,true,true,NULL,NULL,0
41,House for Rent (Valencia),"2 Bedrooms. Own gate and gardem. Payment: 1 month advance, 1 month deposit.",apartment,,Bong-ao,Valencia,"9.280951363551855, 123.25575101503823","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room2.jpg""}",15000,{},NULL,3,true,true,NULL,true,true,true,true,true,0
42,Apartment For rent,Maximum of 3 to 4 persons only Accessible location.,apartment,,Agan-an,Sibulan,"9.338212122132251, 123.30084416639504","{""https://ynuhfllvtxwyloncwvys.supabase.co/storage/v1/object/public/room-pics/room5.jpg""}",7900,{},NULL,4,true,false,NULL,false,true,true,false,true,0
